
System accessed at: 2021-05-26 15:45:01, , , thread_name
admin,Connected to the admin system,2021-05-26 15:45:04,main

System accessed at: 2021-05-26 15:45:33, , , thread_name
admin,Connected to the admin system,2021-05-26 15:45:35,main
admin,Banker administrative side option selected: 0,2021-05-26 15:45:39,main
admin,Banker closed the system.,2021-05-26 15:45:39,main

System accessed at: 2021-05-26 15:45:50, , , thread_name
admin,Connected to the admin system,2021-05-26 15:45:52,main

System accessed at: 2021-05-26 15:47:57, , , thread_name
admin,Connected to the admin system,2021-05-26 15:47:59,main

System accessed at: 2021-05-26 15:48:37, , , thread_name
admin,Connected to the admin system,2021-05-26 15:48:39,main

System accessed at: 2021-05-26 15:49:57, , , thread_name
admin,Connected to the admin system,2021-05-26 15:50:00,main

System accessed at: 2021-05-26 15:54:48, , , thread_name

System accessed at: 2021-05-26 15:54:56, , , thread_name
admin,Connected to the admin system,2021-05-26 15:54:58,main
admin,Banker administrative side option selected: 0,2021-05-26 15:55:06,main
admin,Banker closed the system.,2021-05-26 15:55:06,main

System accessed at: 2021-05-26 15:56:00, , , thread_name
admin,Connected to the admin system,2021-05-26 15:56:02,main

System accessed at: 2021-05-26 15:56:34, , , thread_name
admin,Connected to the admin system,2021-05-26 15:56:37,main

System accessed at: 2021-05-26 15:57:49, , , thread_name
admin,Connected to the admin system,2021-05-26 15:57:52,main

System accessed at: 2021-05-26 16:01:14, , , thread_name
admin,Connected to the admin system,2021-05-26 16:01:17,main

System accessed at: 2021-05-26 16:03:09, , , thread_name
admin,Connected to the admin system,2021-05-26 16:03:11,main

System accessed at: 2021-05-26 16:07:25, , , thread_name
admin,Connected to the admin system,2021-05-26 16:07:29,main
admin,Banker administrative side option selected: 0,2021-05-26 16:07:30,main
admin,Banker closed the system.,2021-05-26 16:07:30,main

System accessed at: 2021-05-26 16:32:30, , , thread_name
admin,Connected to the admin system,2021-05-26 16:32:32,main

System accessed at: 2021-05-26 16:33:09, , , thread_name
admin,Connected to the admin system,2021-05-26 16:33:11,main
